rxnorm,snomed
1799418,372536007
1172714,372536007
1172715,372536007
1172716,372536007
747193,372536007
747195,372536007
1799424,372536007
1799416,372536007
637549,372536007
376889,372536007
747192,372536007
1799415,372536007
1157655,372536007
1157656,372536007
1157657,372536007
1863347,387126006
1305000,387126006
1863355,387126006
1863346,387126006
2284505,387126006
1186612,387126006
1304999,387126006
1304995,387126006
1863343,387126006
1863354,387126006
1863342,387126006
1160531,387126006
239178,387051009
376857,387051009
1160527,387051009
213293,386906001
213292,386906001
368280,386906001
1186410,386906001
1186411,386906001
200328,386906001
200327,386906001
371250,386906001
1158877,386906001
1158878,386906001
1726274,428282007
1726278,428282007
1726273,428282007
1166568,428282007
1726276,428282007
1726271,428282007
1726270,428282007
1161945,428282007
1045460,448800004
1736562,448800004
1176093,448800004
1045456,448800004
1736560,448800004
1162502,448800004
1942748,372715008
2285806,372715008
1942747,372715008
309650,372715008
646830,372715008
1942743,372715008
2002002,372715008
1736580,372715008
2285807,372715008
1152144,372715008
2285813,372715008
1812484,387331000
2375823,387331000
1812482,387331000
1812480,387331000
1244558,387331000
1812478,387331000
1244556,387331000
2375821,387331000
1812479,387331000
1244557,387331000
2375822,387331000
1740900,387331000
1740898,387331000
1244553,387331000
1740894,387331000
2375818,387331000
1740893,387331000
1244552,387331000
2375817,387331000
1165372,387331000
1244551,387331000
2375816,387331000
1922512,387003001
2179763,387003001
2169362,387003001
2289232,387003001
2289237,387003001
2179758,387003001
2382609,387003001
2174809,387003001
2267581,387003001
2383307,387003001
2280737,387003001
806575,387003001
1922518,387003001
2119719,387003001
1658087,387003001
1658091,387003001
2107058,387003001
2257300,387003001
2257299,387003001
540885,387003001
1658086,387003001
1922511,387003001
2174807,387003001
2179762,387003001
2179756,387003001
2107056,387003001
2169361,387003001
2119717,387003001
2382607,387003001
2267579,387003001
2289236,387003001
2289230,387003001
2280735,387003001
1371049,387003001
1169113,387003001
2174808,387003001
2179757,387003001
2107057,387003001
2267580,387003001
2289231,387003001
2280736,387003001
2119718,387003001
2382608,387003001
2257297,387003001
2179753,387003001
2179760,387003001
2289234,387003001
2280732,387003001
2267576,387003001
2289227,387003001
2119714,387003001
2174804,387003001
2382604,387003001
1658089,387003001
2383305,387003001
1658084,387003001
1922509,387003001
2107053,387003001
2169359,387003001
806573,387003001
1922516,387003001
377216,387003001
1922508,387003001
2119712,387003001
2382602,387003001
1162762,387003001
2119711,387003001
2382601,387003001
672152,425820005
672151,425820005
1186914,425820005
1186915,425820005
672149,425820005
672148,425820005
1162549,425820005
1162550,425820005
2383307,704226002
1298953,704226002
2382609,704226002
1657574,704226002
2382607,704226002
1298952,704226002
2382608,704226002
2382604,704226002
2383305,704226002
1298948,704226002
1657572,704226002
2382602,704226002
1298946,704226002
2382601,704226002
998191,428698007
1310144,428698007
1310147,428698007
977440,428698007
2056897,428698007
1310138,428698007
1119402,428698007
845518,428698007
845512,428698007
977436,428698007
977431,428698007
845511,428698007
977430,428698007
1869516,428698007
1172066,428698007
1172067,428698007
1186316,428698007
1186317,428698007
1310137,428698007
1308430,428698007
2056895,428698007
845515,428698007
977427,428698007
977438,428698007
845507,428698007
1119400,428698007
1308428,428698007
977434,428698007
998189,428698007
1308432,428698007
845506,428698007
1869513,428698007
1163786,428698007
1163787,428698007
1308426,428698007
116378,428698007
1658087,702836004
1658091,702836004
1658086,702836004
1371049,702836004
1658089,702836004
1658084,702836004
1922508,702836004
1162762,702836004
1657068,409406007
2046149,409406007
2268044,409406007
2046145,409406007
1657074,409406007
2268048,409406007
1657067,409406007
2046143,409406007
2268042,409406007
1175674,409406007
2046144,409406007
2268043,409406007
1657066,409406007
2046148,409406007
2268039,409406007
2046140,409406007
2268047,409406007
1657073,409406007
1657065,409406007
1161185,409406007
1940654,736632003
1940651,736632003
1940652,736632003
1940653,736632003
1940648,736632003
1940647,736632003
1940645,736632003
1940646,736632003
1657751,716125002
1657749,716125002
1657748,716125002
1547553,716125002
1657750,716125002
1657746,716125002
1657745,716125002
1547547,716125002
1601390,715958001
1601386,715958001
1601394,715958001
2284108,715958001
2284106,715958001
2284104,715958001
1601383,715958001
2284103,715958001
